( X, Y, Tip, Ödül Puaný ) 
( 17, 22, Yol, 0 )
( 17, 23, Yol, 0 )
( 17, 24, Engel, -5 )
( 17, 25, Yol, 0 )
( 17, 26, Yol, 0 )
( 17, 27, Engel, -5 )
( 17, 28, Yol, 0 )
( 17, 29, Yol, 0 )
( 17, 30, Engel, -5 )
( 17, 31, Yol, 0 )
( 17, 32, Yol, 0 )
( 17, 33, Yol, 0 )
( 17, 34, Engel, -5 )
( 17, 35, Engel, -5 )
( 17, 36, Yol, 0 )
( 17, 37, Yol, 0 )
( 17, 38, Yol, 0 )
( 17, 39, Yol, 0 )
( 17, 40, Yol, 0 )
( 17, 41, Yol, 0 )
( 17, 42, Yol, 0 )
( 17, 43, Engel, -5 )
( 17, 44, Yol, 0 )
( 17, 45, Yol, 0 )
( 17, 46, Yol, 0 )
( 17, 47, Yol, 0 )
( 17, 48, Engel, -5 )
( 17, 49, Engel, -5 )
( 18, 0, Yol, 0 )
( 18, 1, Yol, 0 )
( 18, 2, Engel, -5 )
( 18, 3, Yol, 0 )
( 18, 4, Yol, 0 )
( 18, 5, Yol, 0 )
( 18, 6, Yol, 0 )
( 18, 7, Engel, -5 )
( 18, 8, Yol, 0 )
( 18, 9, Yol, 0 )
( 18, 10, Yol, 0 )
( 18, 11, Engel, -5 )
( 18, 12, Yol, 0 )
( 18, 13, Yol, 0 )
( 18, 14, Yol, 0 )
( 18, 15, Yol, 0 )
( 18, 16, Engel, -5 )
( 18, 17, Engel, -5 )
( 18, 18, Yol, 0 )
( 18, 19, Yol, 0 )
( 18, 20, Yol, 0 )
( 18, 21, Engel, -5 )
( 18, 22, Yol, 0 )
( 18, 23, Engel, -5 )
( 18, 24, Engel, -5 )
( 18, 25, Yol, 0 )
( 18, 26, Yol, 0 )
( 18, 27, Yol, 0 )
( 18, 28, Engel, -5 )
( 18, 29, Yol, 0 )
( 18, 30, Yol, 0 )
( 18, 31, Yol, 0 )
( 18, 32, Engel, -5 )
( 18, 33, Yol, 0 )
( 18, 34, Yol, 0 )
( 18, 35, Engel, -5 )
( 18, 36, Yol, 0 )
( 18, 37, Engel, -5 )
( 18, 38, Yol, 0 )
( 18, 39, Yol, 0 )
( 18, 40, Yol, 0 )
( 18, 41, Yol, 0 )
( 18, 42, Yol, 0 )
( 18, 43, Yol, 0 )
( 18, 44, Yol, 0 )
( 18, 45, Yol, 0 )
( 18, 46, Yol, 0 )
( 18, 47, Yol, 0 )
( 18, 48, Yol, 0 )
( 18, 49, Engel, -5 )
( 19, 0, Yol, 0 )
( 19, 1, Yol, 0 )
( 19, 2, Engel, -5 )
( 19, 3, Yol, 0 )
( 19, 4, Engel, -5 )
( 19, 5, Yol, 0 )
( 19, 6, Yol, 0 )
( 19, 7, Yol, 0 )
( 19, 8, Engel, -5 )
( 19, 9, Yol, 0 )
( 19, 10, Yol, 0 )
( 19, 11, Engel, -5 )
( 19, 12, Engel, -5 )
( 19, 13, Yol, 0 )
( 19, 14, Engel, -5 )
( 19, 15, Engel, -5 )
( 19, 16, Yol, 0 )
( 19, 17, Yol, 0 )
( 19, 18, Yol, 0 )
( 19, 19, Engel, -5 )
( 19, 20, Yol, 0 )
( 19, 21, Engel, -5 )
( 19, 22, Yol, 0 )
( 19, 23, Yol, 0 )
( 19, 24, Yol, 0 )
( 19, 25, Engel, -5 )
( 19, 26, Engel, -5 )
( 19, 27, Engel, -5 )
( 19, 28, Engel, -5 )
( 19, 29, Yol, 0 )
( 19, 30, Engel, -5 )
( 19, 31, Yol, 0 )
( 19, 32, Yol, 0 )
( 19, 33, Engel, -5 )
( 19, 34, Engel, -5 )
( 19, 35, Engel, -5 )
( 19, 36, Engel, -5 )
( 19, 37, Engel, -5 )
( 19, 38, Engel, -5 )
( 19, 39, Yol, 0 )
( 19, 40, Yol, 0 )
( 19, 41, Yol, 0 )
( 19, 42, Yol, 0 )
( 19, 43, Yol, 0 )
( 19, 44, Engel, -5 )
( 19, 45, Engel, -5 )
( 19, 46, Engel, -5 )
( 19, 47, Engel, -5 )
( 19, 48, Yol, 0 )
( 19, 49, Engel, -5 )
( 20, 0, Engel, -5 )
( 20, 1, Yol, 0 )
( 20, 2, Yol, 0 )
( 20, 3, Yol, 0 )
( 20, 4, Yol, 0 )
( 20, 5, Engel, -5 )
( 20, 6, Yol, 0 )
( 20, 7, Engel, -5 )
( 20, 8, Yol, 0 )
( 20, 9, Yol, 0 )
( 20, 10, Yol, 0 )
( 20, 11, Yol, 0 )
( 20, 12, Yol, 0 )
( 20, 13, Yol, 0 )
( 20, 14, Yol, 0 )
( 20, 15, Engel, -5 )
( 20, 16, Engel, -5 )
( 20, 17, Yol, 0 )
( 20, 18, Yol, 0 )
( 20, 19, Engel, -5 )
( 20, 20, Yol, 0 )
( 20, 21, Engel, -5 )
( 20, 22, Yol, 0 )
( 20, 23, Engel, -5 )
( 20, 24, Yol, 0 )
( 20, 25, Yol, 0 )
( 20, 26, Yol, 0 )
( 20, 27, Yol, 0 )
( 20, 28, Yol, 0 )
( 20, 29, Yol, 0 )
( 20, 30, Engel, -5 )
( 20, 31, Engel, -5 )
( 20, 32, Yol, 0 )
( 20, 33, Yol, 0 )
( 20, 34, Yol, 0 )
( 20, 35, Engel, -5 )
( 20, 36, Yol, 0 )
( 20, 37, Yol, 0 )
( 20, 38, Engel, -5 )
( 20, 39, Yol, 0 )
( 20, 40, Engel, -5 )
( 20, 41, Yol, 0 )
( 20, 42, Yol, 0 )
( 20, 43, Engel, -5 )
( 20, 44, Yol, 0 )
( 20, 45, Engel, -5 )
( 20, 46, Engel, -5 )
( 20, 47, Engel, -5 )
( 20, 48, Yol, 0 )
( 20, 49, Yol, 0 )
( 21, 0, Engel, -5 )
( 21, 1, Yol, 0 )
( 21, 2, Yol, 0 )
( 21, 3, Yol, 0 )
( 21, 4, Yol, 0 )
( 21, 5, Yol, 0 )
( 21, 6, Yol, 0 )
( 21, 7, Yol, 0 )
( 21, 8, Yol, 0 )
( 21, 9, Yol, 0 )
( 21, 10, Yol, 0 )
( 21, 11, Yol, 0 )
( 21, 12, Engel, -5 )
( 21, 13, Engel, -5 )
( 21, 14, Engel, -5 )
( 21, 15, Yol, 0 )
( 21, 16, Engel, -5 )
( 21, 17, Engel, -5 )
( 21, 18, Yol, 0 )
( 21, 19, Yol, 0 )
( 21, 20, Yol, 0 )
( 21, 21, Yol, 0 )
( 21, 22, Yol, 0 )
( 21, 23, Yol, 0 )
( 21, 24, Engel, -5 )
( 21, 25, Yol, 0 )
( 21, 26, Yol, 0 )
( 21, 27, Yol, 0 )
( 21, 28, Yol, 0 )
( 21, 29, Engel, -5 )
( 21, 30, Yol, 0 )
( 21, 31, Yol, 0 )
( 21, 32, Yol, 0 )
( 21, 33, Yol, 0 )
( 21, 34, Yol, 0 )
( 21, 35, Engel, -5 )
( 21, 36, Engel, -5 )
( 21, 37, Engel, -5 )
( 21, 38, Yol, 0 )
( 21, 39, Yol, 0 )
( 21, 40, Yol, 0 )
( 21, 41, Yol, 0 )
( 21, 42, Engel, -5 )
( 21, 43, Yol, 0 )
( 21, 44, Yol, 0 )
( 21, 45, Engel, -5 )
( 21, 46, Engel, -5 )
( 21, 47, Yol, 0 )
( 21, 48, Yol, 0 )
( 21, 49, Yol, 0 )
( 22, 0, Yol, 0 )
( 22, 1, Engel, -5 )
( 22, 2, Yol, 0 )
( 22, 3, Yol, 0 )
( 22, 4, Engel, -5 )
( 22, 5, Yol, 0 )
( 22, 6, Yol, 0 )
( 22, 7, Yol, 0 )
( 22, 8, Yol, 0 )
( 22, 9, Yol, 0 )
( 22, 10, Yol, 0 )
( 22, 11, Yol, 0 )
( 22, 12, Engel, -5 )
( 22, 13, Yol, 0 )
( 22, 14, Yol, 0 )
( 22, 15, Engel, -5 )
( 22, 16, Yol, 0 )
( 22, 17, Engel, -5 )
( 22, 18, Yol, 0 )
( 22, 19, Yol, 0 )
( 22, 20, Engel, -5 )
( 22, 21, Engel, -5 )
( 22, 22, Yol, 0 )
( 22, 23, Yol, 0 )
( 22, 24, Yol, 0 )
( 22, 25, Yol, 0 )
( 22, 26, Yol, 0 )
( 22, 27, Yol, 0 )
( 22, 28, Engel, -5 )
( 22, 29, Yol, 0 )
( 22, 30, Engel, -5 )
( 22, 31, Yol, 0 )
( 22, 32, Yol, 0 )
( 22, 33, Yol, 0 )
( 22, 34, Yol, 0 )
( 22, 35, Yol, 0 )
( 22, 36, Yol, 0 )
( 22, 37, Engel, -5 )
( 22, 38, Yol, 0 )
( 22, 39, Engel, -5 )
( 22, 40, Engel, -5 )
( 22, 41, Yol, 0 )
( 22, 42, Engel, -5 )
( 22, 43, Engel, -5 )
( 22, 44, Engel, -5 )
( 22, 45, Yol, 0 )
( 22, 46, Yol, 0 )
( 22, 47, Yol, 0 )
( 22, 48, Yol, 0 )
( 22, 49, Yol, 0 )
( 23, 0, Engel, -5 )
( 23, 1, Yol, 0 )
( 23, 2, Yol, 0 )
( 23, 3, Yol, 0 )
( 23, 4, Yol, 0 )
( 23, 5, Yol, 0 )
( 23, 6, Engel, -5 )
( 23, 7, Yol, 0 )
( 23, 8, Yol, 0 )
( 23, 9, Engel, -5 )
( 23, 10, Yol, 0 )
( 23, 11, Yol, 0 )
( 23, 12, Yol, 0 )
( 23, 13, Engel, -5 )
( 23, 14, Yol, 0 )
( 23, 15, Engel, -5 )
( 23, 16, Yol, 0 )
( 23, 17, Yol, 0 )
( 23, 18, Yol, 0 )
( 23, 19, Engel, -5 )
( 23, 20, Yol, 0 )
( 23, 21, Yol, 0 )
( 23, 22, Yol, 0 )
( 23, 23, Yol, 0 )
( 23, 24, Yol, 0 )
( 23, 25, Engel, -5 )
( 23, 26, Engel, -5 )
( 23, 27, Yol, 0 )
( 23, 28, Yol, 0 )
( 23, 29, Yol, 0 )
( 23, 30, Engel, -5 )
( 23, 31, Yol, 0 )
( 23, 32, Engel, -5 )
( 23, 33, Engel, -5 )
( 23, 34, Yol, 0 )
( 23, 35, Yol, 0 )
( 23, 36, Yol, 0 )
( 23, 37, Yol, 0 )
( 23, 38, Engel, -5 )
( 23, 39, Yol, 0 )
( 23, 40, Engel, -5 )
( 23, 41, Engel, -5 )
( 23, 42, Yol, 0 )
( 23, 43, Yol, 0 )
( 23, 44, Yol, 0 )
( 23, 45, Yol, 0 )
( 23, 46, Yol, 0 )
( 23, 47, Yol, 0 )
( 23, 48, Yol, 0 )
( 23, 49, Yol, 0 )
( 24, 0, Yol, 0 )
( 24, 1, Yol, 0 )
( 24, 2, Yol, 0 )
( 24, 3, Engel, -5 )
( 24, 4, Yol, 0 )
( 24, 5, Engel, -5 )
( 24, 6, Yol, 0 )
( 24, 7, Yol, 0 )
( 24, 8, Yol, 0 )
( 24, 9, Yol, 0 )
( 24, 10, Yol, 0 )
( 24, 11, Yol, 0 )
( 24, 12, Engel, -5 )
( 24, 13, Yol, 0 )
( 24, 14, Engel, -5 )
( 24, 15, Yol, 0 )
( 24, 16, Yol, 0 )
( 24, 17, Engel, -5 )
( 24, 18, Yol, 0 )
( 24, 19, Engel, -5 )
( 24, 20, Engel, -5 )
( 24, 21, Yol, 0 )
( 24, 22, Engel, -5 )
( 24, 23, Engel, -5 )
( 24, 24, Yol, 0 )
( 24, 25, Yol, 0 )
( 24, 26, Yol, 0 )
( 24, 27, Yol, 0 )
( 24, 28, Yol, 0 )
( 24, 29, Yol, 0 )
( 24, 30, Engel, -5 )
( 24, 31, Yol, 0 )
( 24, 32, Engel, -5 )
( 24, 33, Engel, -5 )
( 24, 34, Yol, 0 )
( 24, 35, Yol, 0 )
( 24, 36, Yol, 0 )
( 24, 37, Engel, -5 )
( 24, 38, Yol, 0 )
( 24, 39, Engel, -5 )
( 24, 40, Yol, 0 )
( 24, 41, Yol, 0 )
( 24, 42, Yol, 0 )
( 24, 43, Yol, 0 )
( 24, 44, Yol, 0 )
( 24, 45, Yol, 0 )
( 24, 46, Yol, 0 )
( 24, 47, Yol, 0 )
( 24, 48, Yol, 0 )
( 24, 49, Yol, 0 )
( 25, 0, Yol, 0 )
( 25, 1, Engel, -5 )
( 25, 2, Yol, 0 )
( 25, 3, Yol, 0 )
( 25, 4, Engel, -5 )
( 25, 5, Yol, 0 )
( 25, 6, Yol, 0 )
( 25, 7, Yol, 0 )
( 25, 8, Engel, -5 )
( 25, 9, Engel, -5 )
( 25, 10, Yol, 0 )
( 25, 11, Yol, 0 )
( 25, 12, Yol, 0 )
( 25, 13, Yol, 0 )
( 25, 14, Yol, 0 )
( 25, 15, Engel, -5 )
( 25, 16, Yol, 0 )
( 25, 17, Engel, -5 )
( 25, 18, Engel, -5 )
( 25, 19, Yol, 0 )
( 25, 20, Yol, 0 )
( 25, 21, Engel, -5 )
( 25, 22, Yol, 0 )
( 25, 23, Yol, 0 )
( 25, 24, Yol, 0 )
( 25, 25, Yol, 0 )
( 25, 26, Yol, 0 )
( 25, 27, Engel, -5 )
( 25, 28, Yol, 0 )
( 25, 29, Yol, 0 )
( 25, 30, Yol, 0 )
( 25, 31, Engel, -5 )
( 25, 32, Yol, 0 )
( 25, 33, Yol, 0 )
( 25, 34, Yol, 0 )
( 25, 35, Engel, -5 )
( 25, 36, Yol, 0 )
( 25, 37, Yol, 0 )
( 25, 38, Yol, 0 )
( 25, 39, Yol, 0 )
( 25, 40, Yol, 0 )
( 25, 41, Engel, -5 )
( 25, 42, Yol, 0 )
( 25, 43, Yol, 0 )
( 25, 44, Yol, 0 )
( 25, 45, Yol, 0 )
( 25, 46, Yol, 0 )
( 25, 47, Yol, 0 )
( 25, 48, Yol, 0 )
( 25, 49, Yol, 0 )
( 26, 0, Engel, -5 )
( 26, 1, Yol, 0 )
( 26, 2, Yol, 0 )
( 26, 3, Yol, 0 )
( 26, 4, Yol, 0 )
( 26, 5, Engel, -5 )
( 26, 6, Engel, -5 )
( 26, 7, Yol, 0 )
( 26, 8, Engel, -5 )
( 26, 9, Engel, -5 )
( 26, 10, Yol, 0 )
( 26, 11, Engel, -5 )
( 26, 12, Engel, -5 )
( 26, 13, Yol, 0 )
( 26, 14, Yol, 0 )
( 26, 15, Engel, -5 )
( 26, 16, Yol, 0 )
( 26, 17, Yol, 0 )
( 26, 18, Engel, -5 )
( 26, 19, Yol, 0 )
( 26, 20, Engel, -5 )
( 26, 21, Yol, 0 )
( 26, 22, Yol, 0 )
( 26, 23, Yol, 0 )
( 26, 24, Yol, 0 )
( 26, 25, Engel, -5 )
( 26, 26, Yol, 0 )
( 26, 27, Yol, 0 )
( 26, 28, Engel, -5 )
( 26, 29, Yol, 0 )
( 26, 30, Engel, -5 )
( 26, 31, Yol, 0 )
( 26, 32, Yol, 0 )
( 26, 33, Yol, 0 )
( 26, 34, Engel, -5 )
( 26, 35, Yol, 0 )
( 26, 36, Yol, 0 )
( 26, 37, Engel, -5 )
( 26, 38, Yol, 0 )
( 26, 39, Yol, 0 )
( 26, 40, Yol, 0 )
( 26, 41, Engel, -5 )
( 26, 42, Yol, 0 )
( 26, 43, Yol, 0 )
( 26, 44, Yol, 0 )
( 26, 45, Yol, 0 )
( 26, 46, Yol, 0 )
( 26, 47, Yol, 0 )
( 26, 48, Yol, 0 )
( 26, 49, Yol, 0 )
( 27, 0, Yol, 0 )
( 27, 1, Yol, 0 )
( 27, 2, Yol, 0 )
( 27, 3, Yol, 0 )
( 27, 4, Yol, 0 )
( 27, 5, Yol, 0 )
( 27, 6, Yol, 0 )
( 27, 7, Yol, 0 )
( 27, 8, Engel, -5 )
( 27, 9, Yol, 0 )
( 27, 10, Yol, 0 )
( 27, 11, Yol, 0 )
( 27, 12, Engel, -5 )
( 27, 13, Yol, 0 )
( 27, 14, Engel, -5 )
( 27, 15, Yol, 0 )
( 27, 16, Yol, 0 )
( 27, 17, Engel, -5 )
( 27, 18, Engel, -5 )
( 27, 19, Yol, 0 )
( 27, 20, Yol, 0 )
( 27, 21, Yol, 0 )
( 27, 22, Yol, 0 )
( 27, 23, Yol, 0 )
( 27, 24, Yol, 0 )
( 27, 25, Yol, 0 )
( 27, 26, Yol, 0 )
( 27, 27, Yol, 0 )
( 27, 28, Engel, -5 )
( 27, 29, Engel, -5 )
( 27, 30, Yol, 0 )
( 27, 31, Engel, -5 )
( 27, 32, Yol, 0 )
( 27, 33, Yol, 0 )
( 27, 34, Engel, -5 )
( 27, 35, Yol, 0 )
( 27, 36, Engel, -5 )
( 27, 37, Yol, 0 )
( 27, 38, Yol, 0 )
( 27, 39, Engel, -5 )
( 27, 40, Yol, 0 )
( 27, 41, Yol, 0 )
( 27, 42, Engel, -5 )
( 27, 43, Yol, 0 )
( 27, 44, Engel, -5 )
( 27, 45, Engel, -5 )
( 27, 46, Yol, 0 )
( 27, 47, Yol, 0 )
( 27, 48, Yol, 0 )
( 27, 49, Yol, 0 )
( 28, 0, Yol, 0 )
( 28, 1, Yol, 0 )
( 28, 2, Yol, 0 )
( 28, 3, Yol, 0 )
( 28, 4, Yol, 0 )
( 28, 5, Yol, 0 )
( 28, 6, Yol, 0 )
( 28, 7, Yol, 0 )
( 28, 8, Yol, 0 )
( 28, 9, Engel, -5 )
( 28, 10, Engel, -5 )
( 28, 11, Engel, -5 )
( 28, 12, Yol, 0 )
( 28, 13, Yol, 0 )
( 28, 14, Yol, 0 )
( 28, 15, Engel, -5 )
( 28, 16, Yol, 0 )
( 28, 17, Yol, 0 )
( 28, 18, Yol, 0 )
( 28, 19, Engel, -5 )
( 28, 20, Yol, 0 )
( 28, 21, Yol, 0 )
( 28, 22, Yol, 0 )
( 28, 23, Engel, -5 )
( 28, 24, Yol, 0 )
( 28, 25, Yol, 0 )
( 28, 26, Yol, 0 )
( 28, 27, Yol, 0 )
( 28, 28, Engel, -5 )
( 28, 29, Engel, -5 )
( 28, 30, Yol, 0 )
( 28, 31, Yol, 0 )
( 28, 32, Yol, 0 )
( 28, 33, Engel, -5 )
( 28, 34, Yol, 0 )
( 28, 35, Engel, -5 )
( 28, 36, Engel, -5 )
( 28, 37, Yol, 0 )
( 28, 38, Yol, 0 )
( 28, 39, Yol, 0 )
( 28, 40, Yol, 0 )
( 28, 41, Engel, -5 )
( 28, 42, Engel, -5 )
( 28, 43, Yol, 0 )
( 28, 44, Yol, 0 )
( 28, 45, Yol, 0 )
( 28, 46, Engel, -5 )
( 28, 47, Yol, 0 )
( 28, 48, Yol, 0 )
( 28, 49, Engel, -5 )
( 29, 0, Yol, 0 )
( 29, 1, Yol, 0 )
( 29, 2, Yol, 0 )
( 29, 3, Engel, -5 )
( 29, 4, Engel, -5 )
( 29, 5, Engel, -5 )
( 29, 6, Yol, 0 )
( 29, 7, Yol, 0 )
( 29, 8, Yol, 0 )
( 29, 9, Yol, 0 )
( 29, 10, Engel, -5 )
( 29, 11, Yol, 0 )
( 29, 12, Yol, 0 )
( 29, 13, Engel, -5 )
( 29, 14, Yol, 0 )
( 29, 15, Yol, 0 )
( 29, 16, Engel, -5 )
( 29, 17, Engel, -5 )
( 29, 18, Yol, 0 )
( 29, 19, Engel, -5 )
( 29, 20, Yol, 0 )
( 29, 21, Engel, -5 )
( 29, 22, Yol, 0 )
( 29, 23, Engel, -5 )
( 29, 24, Yol, 0 )
( 29, 25, Yol, 0 )
( 29, 26, Engel, -5 )
( 29, 27, Yol, 0 )
( 29, 28, Engel, -5 )
( 29, 29, Yol, 0 )
( 29, 30, Yol, 0 )
( 29, 31, Yol, 0 )
( 29, 32, Yol, 0 )
( 29, 33, Yol, 0 )
( 29, 34, Yol, 0 )
( 29, 35, Engel, -5 )
( 29, 36, Yol, 0 )
( 29, 37, Yol, 0 )
( 29, 38, Engel, -5 )
( 29, 39, Yol, 0 )
( 29, 40, Engel, -5 )
( 29, 41, Engel, -5 )
( 29, 42, Yol, 0 )
( 29, 43, Yol, 0 )
( 29, 44, Yol, 0 )
( 29, 45, Engel, -5 )
( 29, 46, Yol, 0 )
( 29, 47, Yol, 0 )
( 29, 48, Yol, 0 )
( 29, 49, Engel, -5 )
( 30, 0, Yol, 0 )
( 30, 1, Yol, 0 )
( 30, 2, Yol, 0 )
( 30, 3, Engel, -5 )
( 30, 4, Yol, 0 )
( 30, 5, Engel, -5 )
( 30, 6, Yol, 0 )
( 30, 7, Engel, -5 )
( 30, 8, Yol, 0 )
( 30, 9, Yol, 0 )
( 30, 10, Yol, 0 )
( 30, 11, Yol, 0 )
( 30, 12, Yol, 0 )
( 30, 13, Yol, 0 )
( 30, 14, Yol, 0 )
( 30, 15, Yol, 0 )
( 30, 16, Engel, -5 )
( 30, 17, Yol, 0 )
( 30, 18, Yol, 0 )
( 30, 19, Yol, 0 )
( 30, 20, Yol, 0 )
( 30, 21, Yol, 0 )
( 30, 22, Yol, 0 )
( 30, 23, Yol, 0 )
( 30, 24, Yol, 0 )
( 30, 25, Yol, 0 )
( 30, 26, Engel, -5 )
( 30, 27, Engel, -5 )
( 30, 28, Engel, -5 )
( 30, 29, Yol, 0 )
( 30, 30, Yol, 0 )
( 30, 31, Yol, 0 )
( 30, 32, Yol, 0 )
( 30, 33, Yol, 0 )
( 30, 34, Yol, 0 )
( 30, 35, Yol, 0 )
( 30, 36, Yol, 0 )
( 30, 37, Yol, 0 )
( 30, 38, Engel, -5 )
( 30, 39, Yol, 0 )
( 30, 40, Engel, -5 )
( 30, 41, Yol, 0 )
( 30, 42, Yol, 0 )
( 30, 43, Yol, 0 )
( 30, 44, Engel, -5 )
( 30, 45, Yol, 0 )
( 30, 46, Yol, 0 )
( 30, 47, Yol, 0 )
( 30, 48, Engel, -5 )
( 30, 49, Yol, 0 )
( 31, 0, Yol, 0 )
( 31, 1, Yol, 0 )
( 31, 2, Yol, 0 )
( 31, 3, Yol, 0 )
( 31, 4, Yol, 0 )
( 31, 5, Engel, -5 )
( 31, 6, Yol, 0 )
( 31, 7, Engel, -5 )
( 31, 8, Engel, -5 )
( 31, 9, Yol, 0 )
( 31, 10, Engel, -5 )
( 31, 11, Engel, -5 )
( 31, 12, Yol, 0 )
( 31, 13, Engel, -5 )
( 31, 14, Yol, 0 )
( 31, 15, Yol, 0 )
( 31, 16, Yol, 0 )
( 31, 17, Engel, -5 )
( 31, 18, Yol, 0 )
( 31, 19, Yol, 0 )
( 31, 20, Engel, -5 )
( 31, 21, Engel, -5 )
( 31, 22, Yol, 0 )
( 31, 23, Engel, -5 )
( 31, 24, Yol, 0 )
( 31, 25, Engel, -5 )
( 31, 26, Yol, 0 )
( 31, 27, Engel, -5 )
( 31, 28, Engel, -5 )
( 31, 29, Engel, -5 )
( 31, 30, Yol, 0 )
( 31, 31, Yol, 0 )
( 31, 32, Yol, 0 )
( 31, 33, Engel, -5 )
( 31, 34, Yol, 0 )
( 31, 35, Yol, 0 )
( 31, 36, Yol, 0 )
( 31, 37, Yol, 0 )
( 31, 38, Yol, 0 )
( 31, 39, Yol, 0 )
( 31, 40, Yol, 0 )
( 31, 41, Yol, 0 )
( 31, 42, Yol, 0 )
( 31, 43, Engel, -5 )
( 31, 44, Yol, 0 )
( 31, 45, Yol, 0 )
( 31, 46, Yol, 0 )
( 31, 47, Engel, -5 )
( 31, 48, Engel, -5 )
( 31, 49, Engel, -5 )
( 32, 0, Yol, 0 )
( 32, 1, Yol, 0 )
( 32, 2, Yol, 0 )
( 32, 3, Engel, -5 )
( 32, 4, Yol, 0 )
( 32, 5, Yol, 0 )
( 32, 6, Yol, 0 )
( 32, 7, Yol, 0 )
( 32, 8, Yol, 0 )
( 32, 9, Engel, -5 )
( 32, 10, Engel, -5 )
( 32, 11, Yol, 0 )
( 32, 12, Yol, 0 )
( 32, 13, Yol, 0 )
( 32, 14, Yol, 0 )
( 32, 15, Yol, 0 )
( 32, 16, Engel, -5 )
( 32, 17, Yol, 0 )
( 32, 18, Yol, 0 )
( 32, 19, Yol, 0 )
( 32, 20, Yol, 0 )
( 32, 21, Yol, 0 )
( 32, 22, Yol, 0 )
( 32, 23, Yol, 0 )
( 32, 24, Engel, -5 )
( 32, 25, Yol, 0 )
( 32, 26, Yol, 0 )
( 32, 27, Engel, -5 )
( 32, 28, Yol, 0 )
( 32, 29, Engel, -5 )
( 32, 30, Engel, -5 )
( 32, 31, Engel, -5 )
( 32, 32, Engel, -5 )
( 32, 33, Yol, 0 )
( 32, 34, Yol, 0 )
( 32, 35, Yol, 0 )
( 32, 36, Engel, -5 )
( 32, 37, Yol, 0 )
( 32, 38, Yol, 0 )
( 32, 39, Yol, 0 )
( 32, 40, Yol, 0 )
( 32, 41, Yol, 0 )
( 32, 42, Engel, -5 )
( 32, 43, Engel, -5 )
( 32, 44, Yol, 0 )
( 32, 45, Yol, 0 )
( 32, 46, Yol, 0 )
( 32, 47, Yol, 0 )
( 32, 48, Yol, 0 )
( 32, 49, Yol, 0 )
( 33, 0, Engel, -5 )
( 33, 1, Yol, 0 )
( 33, 2, Yol, 0 )
( 33, 3, Engel, -5 )
( 33, 4, Yol, 0 )
( 33, 5, Yol, 0 )
( 33, 6, Yol, 0 )
( 33, 7, Engel, -5 )
( 33, 8, Yol, 0 )
( 33, 9, Yol, 0 )
( 33, 10, Yol, 0 )
( 33, 11, Engel, -5 )
( 33, 12, Yol, 0 )
( 33, 13, Engel, -5 )
( 33, 14, Yol, 0 )
( 33, 15, Yol, 0 )
( 33, 16, Yol, 0 )
( 33, 17, Yol, 0 )
( 33, 18, Yol, 0 )
( 33, 19, Engel, -5 )
( 33, 20, Yol, 0 )
( 33, 21, Engel, -5 )
( 33, 22, Yol, 0 )
( 33, 23, Yol, 0 )
( 33, 24, Yol, 0 )
( 33, 25, Engel, -5 )
( 33, 26, Yol, 0 )
( 33, 27, Yol, 0 )
( 33, 28, Engel, -5 )
( 33, 29, Yol, 0 )
( 33, 30, Yol, 0 )
( 33, 31, Engel, -5 )
( 33, 32, Yol, 0 )
( 33, 33, Yol, 0 )
( 33, 34, Engel, -5 )
( 33, 35, Yol, 0 )
( 33, 36, Yol, 0 )
( 33, 37, Yol, 0 )
( 33, 38, Yol, 0 )
( 33, 39, Yol, 0 )
( 33, 40, Engel, -5 )
( 33, 41, Engel, -5 )
( 33, 42, Engel, -5 )
( 33, 43, Yol, 0 )
( 33, 44, Yol, 0 )
( 33, 45, Engel, -5 )
( 33, 46, Yol, 0 )
( 33, 47, Yol, 0 )
( 33, 48, Yol, 0 )
( 33, 49, Engel, -5 )
( 34, 0, Engel, -5 )
( 34, 1, Yol, 0 )
( 34, 2, Yol, 0 )
( 34, 3, Engel, -5 )
( 34, 4, Engel, -5 )
( 34, 5, Yol, 0 )
( 34, 6, Yol, 0 )
( 34, 7, Yol, 0 )
( 34, 8, Yol, 0 )
( 34, 9, Yol, 0 )
( 34, 10, Yol, 0 )
( 34, 11, Engel, -5 )
( 34, 12, Engel, -5 )
( 34, 13, Engel, -5 )
( 34, 14, Yol, 0 )
( 34, 15, Yol, 0 )
( 34, 16, Yol, 0 )
( 34, 17, Yol, 0 )
( 34, 18, Yol, 0 )
( 34, 19, Engel, -5 )
( 34, 20, Engel, -5 )
( 34, 21, Yol, 0 )
( 34, 22, Yol, 0 )
( 34, 23, Engel, -5 )
( 34, 24, Yol, 0 )
( 34, 25, Yol, 0 )
( 34, 26, Yol, 0 )
( 34, 27, Yol, 0 )
( 34, 28, Yol, 0 )
( 34, 29, Yol, 0 )
( 34, 30, Yol, 0 )
( 34, 31, Yol, 0 )
( 34, 32, Yol, 0 )
( 34, 33, Engel, -5 )
( 34, 34, Yol, 0 )
( 34, 35, Yol, 0 )
( 34, 36, Yol, 0 )
( 34, 37, Yol, 0 )
( 34, 38, Yol, 0 )
( 34, 39, Yol, 0 )
( 34, 40, Yol, 0 )
( 34, 41, Yol, 0 )
( 34, 42, Yol, 0 )
( 34, 43, Yol, 0 )
( 34, 44, Engel, -5 )
